STT,Tên Shop,Địa Chỉ Shop,Link Website / Link Shop,Tên Sản Phẩm,Tên Sản Phẩm (Tiếng Anh),Giá Cả,Mô Tả Sản Phẩm,Mô Tả Sản Phẩm (Tiếng Anh),Tag,Category,Link Hình Ảnh
407,messagecoffee.store,Thành phố Hồ Chí Minh,https://shopee.vn/search?shop=241946261,Cà phê nguyên chất Cầu Đất Blend rang mộc 100% thơm quyến rũ hậu ngọt đắng đầm dùng pha máy - pha phin từ Message Coffee,Cà phê nguyên chất Cầu Đất Blend rang mộc 100% thơm quyến rũ hậu ngọt đắng đầm dùng pha máy - pha phin từ Message Coffee,110000,Đặc sản chất lượng - Cà phê nguyên chất Cầu Đất Blend rang mộc 100% thơm quyến rũ hậu ngọt đắng đầm dùng pha máy - pha phin từ Message Coffee,Delicious and authentic local food specialty from messagecoffee.store: Cà phê nguyên chất Cầu Đất Blend rang mộc 100% thơm quyến rũ hậu ngọt đắng đầm dùng pha máy - pha phin từ Message Coffee.,Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mp5dqha7udqj80
408,messagecoffee.store,Thành phố Hồ Chí Minh,https://shopee.vn/search?shop=241946261,"Hộp Quà Tết Cà phê Đặc sản VietNam Amazing Cup, Combo Cafe Specialty, Set Quà tặng Sang trọng Cao Cấp từ Message Coffee",Premium (Gift Set),530000,"Đặc sản chất lượng - Hộp Quà Tết Cà phê Đặc sản VietNam Amazing Cup, Combo Cafe Specialty, Set Quà tặng Sang trọng Cao Cấp từ Message Coffee",Premium and meaningful gift set elegantly packaged from messagecoffee.store: Premium (Gift Set).,Gift Sets,Quà tặng,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mj0spblly9z7a4
409,Chitt Decor,Thành phố Huế,https://shopee.vn/search?shop=907257152,( UTOTY26 FCM ) Móc Khóa Cầu Thủ Thẻ Cầu Thủ FC Mobile Mùa Thẻ UTOTY26 - RIN HUDA-CHIT,( UTOTY26 FCM ) Móc Khóa Cầu Thủ Thẻ Cầu Thủ FC Mobile Mùa Thẻ UTOTY26 - RIN HUDA-CHIT,21000,Đặc sản chất lượng - ( UTOTY26 FCM ) Móc Khóa Cầu Thủ Thẻ Cầu Thủ FC Mobile Mùa Thẻ UTOTY26 - RIN HUDA-CHIT,Unique fashion accessory showcasing Vietnamese cultural heritage from Chitt Decor: ( UTOTY26 FCM ) Móc Khóa Cầu Thủ Thẻ Cầu Thủ FC Mobile Mùa Thẻ UTOTY26 - RIN HUDA-CHIT.,Fashion,Thời trang,https://down-vn.img.susercontent.com/file/sg-11134201-81zu4-mmlq1v89gw79c0
410,Chitt Decor,Thành phố Huế,https://shopee.vn/search?shop=907257152,"Móc Khóa Chữ Ký FC Mobile Móc Khóa Bóng Đá Thẻ Cầu Thủ Messi, Ronaldo, Neymar phiên bản chữ ký","Móc Khóa Chữ Ký FC Mobile Móc Khóa Bóng Đá Thẻ Cầu Thủ Messi, Ronaldo, Neymar phiên bản chữ ký",19500,"Đặc sản chất lượng - Móc Khóa Chữ Ký FC Mobile Móc Khóa Bóng Đá Thẻ Cầu Thủ Messi, Ronaldo, Neymar phiên bản chữ ký","Unique fashion accessory showcasing Vietnamese cultural heritage from Chitt Decor: Móc Khóa Chữ Ký FC Mobile Móc Khóa Bóng Đá Thẻ Cầu Thủ Messi, Ronaldo, Neymar phiên bản chữ ký.",Fashion,Thời trang,https://down-vn.img.susercontent.com/file/sg-11134201-81ztn-miegoeb6iosne5
411,Chitt Decor,Thành phố Huế,https://shopee.vn/search?shop=907257152,"Móc Khóa FC Mobile Móc Khóa Bóng Đá Thẻ Cầu Thủ Messi, Ronaldo, Beckham, Torres, Mbappé... Sưu Tầm - chit","Móc Khóa FC Mobile Móc Khóa Bóng Đá Thẻ Cầu Thủ Messi, Ronaldo, Beckham, Torres, Mbappé... Sưu Tầm - chit",18500,"Đặc sản chất lượng - Móc Khóa FC Mobile Móc Khóa Bóng Đá Thẻ Cầu Thủ Messi, Ronaldo, Beckham, Torres, Mbappé... Sưu Tầm - chit","Unique fashion accessory showcasing Vietnamese cultural heritage from Chitt Decor: Móc Khóa FC Mobile Móc Khóa Bóng Đá Thẻ Cầu Thủ Messi, Ronaldo, Beckham, Torres, Mbappé... Sưu Tầm - chit.",Fashion,Thời trang,https://down-vn.img.susercontent.com/file/sg-11134201-81zw9-miegnjcs2iv45e
412,Chitt Decor,Thành phố Huế,https://shopee.vn/search?shop=907257152,Thẻ Cầu Thủ Chỉ Định FC Mobile MẪU MỚI 2026 Chọn Theo Mẫu - chit,Thẻ Cầu Thủ Chỉ Định FC Mobile MẪU MỚI 2026 Chọn Theo Mẫu - chit,23000,Đặc sản chất lượng - Thẻ Cầu Thủ Chỉ Định FC Mobile MẪU MỚI 2026 Chọn Theo Mẫu - chit,Exquisite handcrafted souvenir made with premium materials from Chitt Decor: Thẻ Cầu Thủ Chỉ Định FC Mobile MẪU MỚI 2026 Chọn Theo Mẫu - chit.,Handicrafts,Thủ công,https://down-vn.img.susercontent.com/file/sg-11134201-825zm-mjuo9i9p4g7845
413,Chitt Decor,Thành phố Huế,https://shopee.vn/search?shop=907257152,( UTOTY26 FCM ) Móc Khóa Cầu Thủ Thẻ Cầu Thủ FC Mobile Mùa Thẻ UTOTY26 - CHIT,( UTOTY26 FCM ) Móc Khóa Cầu Thủ Thẻ Cầu Thủ FC Mobile Mùa Thẻ UTOTY26 - CHIT,23500,Đặc sản chất lượng - ( UTOTY26 FCM ) Móc Khóa Cầu Thủ Thẻ Cầu Thủ FC Mobile Mùa Thẻ UTOTY26 - CHIT,Unique fashion accessory showcasing Vietnamese cultural heritage from Chitt Decor: ( UTOTY26 FCM ) Móc Khóa Cầu Thủ Thẻ Cầu Thủ FC Mobile Mùa Thẻ UTOTY26 - CHIT.,Fashion,Thời trang,https://down-vn.img.susercontent.com/file/sg-11134201-8260f-ml52w4vkej2n7c
414,Chitt Decor,Thành phố Huế,https://shopee.vn/search?shop=907257152,"Móc Khóa FC Mobile Móc Khóa Bóng Đá Thẻ Cầu Thủ Messi, Ronaldo, Beckham, Torres, Mbappé... Sưu Tầm","Móc Khóa FC Mobile Móc Khóa Bóng Đá Thẻ Cầu Thủ Messi, Ronaldo, Beckham, Torres, Mbappé... Sưu Tầm",15500,"Đặc sản chất lượng - Móc Khóa FC Mobile Móc Khóa Bóng Đá Thẻ Cầu Thủ Messi, Ronaldo, Beckham, Torres, Mbappé... Sưu Tầm","Unique fashion accessory showcasing Vietnamese cultural heritage from Chitt Decor: Móc Khóa FC Mobile Móc Khóa Bóng Đá Thẻ Cầu Thủ Messi, Ronaldo, Beckham, Torres, Mbappé... Sưu Tầm.",Fashion,Thời trang,https://down-vn.img.susercontent.com/file/sg-11134201-8261s-ml52xb9m0owaac
415,Chitt Decor,Thành phố Huế,https://shopee.vn/search?shop=907257152,"Móc khoá mica logo các trường đại học,cao đẳng,học viện - chit","Móc khoá mica logo các trường đại học,cao đẳng,học viện - chit",19500,"Đặc sản chất lượng - Móc khoá mica logo các trường đại học,cao đẳng,học viện - chit","Exquisite handcrafted souvenir made with premium materials from Chitt Decor: Móc khoá mica logo các trường đại học,cao đẳng,học viện - chit.",Handicrafts,Thủ công,https://down-vn.img.susercontent.com/file/sg-11134201-822y2-mi1iar3r5hqa1d
416,Chitt Decor,Thành phố Huế,https://shopee.vn/search?shop=907257152,MÓC TREO BALO IN TÊN BÉ VÀ SÔ BỐ MẸ - Xưởng quà tặng Sango,(Gift Set),18000,Đặc sản chất lượng - MÓC TREO BALO IN TÊN BÉ VÀ SÔ BỐ MẸ - Xưởng quà tặng Sango,Exquisite handcrafted souvenir made with premium materials from Chitt Decor: (Gift Set).,Handicrafts,Thủ công,https://down-vn.img.susercontent.com/file/sg-11134201-81zvn-mmlq2tdolfye60
417,Chitt Decor,Thành phố Huế,https://shopee.vn/search?shop=907257152,(CHITTTDECOR )MÓC KHOÁ CẦU THỦ FC MOBILE 2026 MỚI NHẤT - CHITTDECOR,(CHITTTDECOR )MÓC KHOÁ CẦU THỦ FC MOBILE 2026 MỚI NHẤT - CHITTDECOR,19500,Đặc sản chất lượng - (CHITTTDECOR )MÓC KHOÁ CẦU THỦ FC MOBILE 2026 MỚI NHẤT - CHITTDECOR,Exquisite handcrafted souvenir made with premium materials from Chitt Decor: (CHITTTDECOR )MÓC KHOÁ CẦU THỦ FC MOBILE 2026 MỚI NHẤT - CHITTDECOR.,Handicrafts,Thủ công,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mn8im5nqjuo8c6
418,Đặc sản Ngon Lạ Đà Lạt,Tỉnh Lâm Đồng,https://shopee.vn/search?shop=13988824,"Mứt dâu nguyên nguyên trái, Đặc Sản Ngon Lạ Đà Lạt","Mứt dâu nguyên nguyên trái, Đặc Sản Ngon Lạ Đà Lạt",66150,"Đặc sản chất lượng - Mứt dâu nguyên nguyên trái, Đặc Sản Ngon Lạ Đà Lạt","Delicious and authentic local food specialty from Đặc sản Ngon Lạ Đà Lạt: Mứt dâu nguyên nguyên trái, Đặc Sản Ngon Lạ Đà Lạt.",Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/a5a107850f812c5045152a33ee9f3aaf
419,Đặc sản Ngon Lạ Đà Lạt,Tỉnh Lâm Đồng,https://shopee.vn/search?shop=13988824,"Nước cốt chanh dây nguyên chất, Đặc Sản Ngon Lạ Đà Lạt","Nước cốt chanh dây nguyên chất, Đặc Sản Ngon Lạ Đà Lạt",56700,"Đặc sản chất lượng - Nước cốt chanh dây nguyên chất, Đặc Sản Ngon Lạ Đà Lạt","Delicious and authentic local food specialty from Đặc sản Ngon Lạ Đà Lạt: Nước cốt chanh dây nguyên chất, Đặc Sản Ngon Lạ Đà Lạt.",Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/a574b6f45d84de263cc5a011a8c05e20
420,Đặc sản Ngon Lạ Đà Lạt,Tỉnh Lâm Đồng,https://shopee.vn/search?shop=13988824,"Khoai lang mật sấy dẻo, dẻo ngon, ít ngọt, không tẩm đường, Đặc Sản Ngon Lạ Đà Lạt","Khoai lang mật sấy dẻo, dẻo ngon, ít ngọt, không tẩm đường, Đặc Sản Ngon Lạ Đà Lạt",47250,"Đặc sản chất lượng - Khoai lang mật sấy dẻo, dẻo ngon, ít ngọt, không tẩm đường, Đặc Sản Ngon Lạ Đà Lạt","Delicious and authentic local food specialty from Đặc sản Ngon Lạ Đà Lạt: Khoai lang mật sấy dẻo, dẻo ngon, ít ngọt, không tẩm đường, Đặc Sản Ngon Lạ Đà Lạt.",Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/0322b0f2fb8624b81880c47e5436f4a6
421,Đặc sản Ngon Lạ Đà Lạt,Tỉnh Lâm Đồng,https://shopee.vn/search?shop=13988824,"Hoa atiso đỏ sấy dẻo, Đặc Sản Ngon Lạ Đà Lạt","Hoa atiso đỏ sấy dẻo, Đặc Sản Ngon Lạ Đà Lạt",87750,"Đặc sản chất lượng - Hoa atiso đỏ sấy dẻo, Đặc Sản Ngon Lạ Đà Lạt","Delicious and authentic local food specialty from Đặc sản Ngon Lạ Đà Lạt: Hoa atiso đỏ sấy dẻo, Đặc Sản Ngon Lạ Đà Lạt.",Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/fc59aee5b54128555f47a0485f55b3a2
422,Đặc sản Ngon Lạ Đà Lạt,Tỉnh Lâm Đồng,https://shopee.vn/search?shop=13988824,"Khoai lang sấy mỡ hành, Đặc Sản Ngon Lạ Đà Lạt","Khoai lang sấy mỡ hành, Đặc Sản Ngon Lạ Đà Lạt",52650,"Đặc sản chất lượng - Khoai lang sấy mỡ hành, Đặc Sản Ngon Lạ Đà Lạt","Delicious and authentic local food specialty from Đặc sản Ngon Lạ Đà Lạt: Khoai lang sấy mỡ hành, Đặc Sản Ngon Lạ Đà Lạt.",Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/fd7c09a41209a53d76dbf8342cc590cb
423,Đặc sản Ngon Lạ Đà Lạt,Tỉnh Lâm Đồng,https://shopee.vn/search?shop=13988824,"Ô mai xí muội chua ngọt, chua chua, Đặc Sản Ngon Lạ Đà Lạt","Ô mai xí muội chua ngọt, chua chua, Đặc Sản Ngon Lạ Đà Lạt",36450,"Đặc sản chất lượng - Ô mai xí muội chua ngọt, chua chua, Đặc Sản Ngon Lạ Đà Lạt","Delicious and authentic local food specialty from Đặc sản Ngon Lạ Đà Lạt: Ô mai xí muội chua ngọt, chua chua, Đặc Sản Ngon Lạ Đà Lạt.",Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/52186121376bf1810b5a0b1ec19cea4c
424,Đặc sản Ngon Lạ Đà Lạt,Tỉnh Lâm Đồng,https://shopee.vn/search?shop=13988824,"Muối ô mai, muối xí muội, chấm trái cây chua chua, Đặc Sản Ngon Lạ Đà Lạt","Muối ô mai, muối xí muội, chấm trái cây chua chua, Đặc Sản Ngon Lạ Đà Lạt",40500,"Đặc sản chất lượng - Muối ô mai, muối xí muội, chấm trái cây chua chua, Đặc Sản Ngon Lạ Đà Lạt","Delicious and authentic local food specialty from Đặc sản Ngon Lạ Đà Lạt: Muối ô mai, muối xí muội, chấm trái cây chua chua, Đặc Sản Ngon Lạ Đà Lạt.",Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/ab5b7e013b2b7f1caf75c4926cd55115
425,Đặc sản Ngon Lạ Đà Lạt,Tỉnh Lâm Đồng,https://shopee.vn/search?shop=13988824,"Rau củ sấy giòn, Thập cẩm sấy giòn, Ăn vặt giòn tan, Đặc Sản Ngon Lạ Đà Lạt","Rau củ sấy giòn, Thập cẩm sấy giòn, Ăn vặt giòn tan, Đặc Sản Ngon Lạ Đà Lạt",43200,"Đặc sản chất lượng - Rau củ sấy giòn, Thập cẩm sấy giòn, Ăn vặt giòn tan, Đặc Sản Ngon Lạ Đà Lạt","Delicious and authentic local food specialty from Đặc sản Ngon Lạ Đà Lạt: Rau củ sấy giòn, Thập cẩm sấy giòn, Ăn vặt giòn tan, Đặc Sản Ngon Lạ Đà Lạt.",Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/b1927d3f789e002dfd22b749a4c3af5b
426,Đặc sản Ngon Lạ Đà Lạt,Tỉnh Lâm Đồng,https://shopee.vn/search?shop=13988824,"Khoai tây tẩm vị trứng muối, phomai bò cười, rong biển, sate, mắm hành, Đặc Sản Ngon Lạ Đà Lạt","Khoai tây tẩm vị trứng muối, phomai bò cười, rong biển, sate, mắm hành, Đặc Sản Ngon Lạ Đà Lạt",79650,"Đặc sản chất lượng - Khoai tây tẩm vị trứng muối, phomai bò cười, rong biển, sate, mắm hành, Đặc Sản Ngon Lạ Đà Lạt","Delicious and authentic local food specialty from Đặc sản Ngon Lạ Đà Lạt: Khoai tây tẩm vị trứng muối, phomai bò cười, rong biển, sate, mắm hành, Đặc Sản Ngon Lạ Đà Lạt.",Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/435a8d3e2ead3a4a6365dfc1892bbfff
427,Đặc sản Ngon Lạ Đà Lạt,Tỉnh Lâm Đồng,https://shopee.vn/search?shop=13988824,"Xoài sấy muối ớt, Đặc Sản Ngon Lạ Đà Lạt","Xoài sấy muối ớt, Đặc Sản Ngon Lạ Đà Lạt",93150,"Đặc sản chất lượng - Xoài sấy muối ớt, Đặc Sản Ngon Lạ Đà Lạt","Delicious and authentic local food specialty from Đặc sản Ngon Lạ Đà Lạt: Xoài sấy muối ớt, Đặc Sản Ngon Lạ Đà Lạt.",Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/vn-11134201-23020-pwkkqiii0tnv1a
428,Cửa hàng đồ ăn vặt của Chị Chư,Tỉnh Quảng Ninh,https://shopee.vn/search?shop=1731178242,"Kẹo râu rồng truyền thống thủ công Su Fang Zhai, quà lưu niệm, đóng gói riêng lẻ, đặc sản kẹo râu rồng Hàng Châu trong c","Kẹo râu rồng truyền thống thủ công Su Fang Zhai, quà lưu niệm, đóng gói riêng lẻ, đặc sản kẹo râu rồng Hàng Châu trong c",190096,"Đặc sản chất lượng - Kẹo râu rồng truyền thống thủ công Su Fang Zhai, quà lưu niệm, đóng gói riêng lẻ, đặc sản kẹo râu rồng Hàng Châu trong c","Exquisite handcrafted souvenir made with premium materials from Cửa hàng đồ ăn vặt của Chị Chư: Kẹo râu rồng truyền thống thủ công Su Fang Zhai, quà lưu niệm, đóng gói riêng lẻ, đặc sản kẹo râu rồng Hàng Châu trong c.",Handicrafts,Thủ công,https://down-vn.img.susercontent.com/file/vn-11134201-81ztc-mmftmrqgv18hff
429,Cửa hàng đồ ăn vặt của Chị Chư,Tỉnh Quảng Ninh,https://shopee.vn/search?shop=1731178242,"Sầu riêng sấy khô đóng hộp, đặc sản snack Sầu riêng Vua Gối Vàng Thái Lan, trái cây sấy đông lạnh, snack trái cây sấy kh","Sầu riêng sấy khô đóng hộp, đặc sản snack Sầu riêng Vua Gối Vàng Thái Lan, trái cây sấy đông lạnh, snack trái cây sấy kh",340076,"Đặc sản chất lượng - Sầu riêng sấy khô đóng hộp, đặc sản snack Sầu riêng Vua Gối Vàng Thái Lan, trái cây sấy đông lạnh, snack trái cây sấy kh","Delicious and authentic local food specialty from Cửa hàng đồ ăn vặt của Chị Chư: Sầu riêng sấy khô đóng hộp, đặc sản snack Sầu riêng Vua Gối Vàng Thái Lan, trái cây sấy đông lạnh, snack trái cây sấy kh.",Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/vn-11134201-81ztc-mmhslto96xhef6
430,Cửa hàng đồ ăn vặt của Chị Chư,Tỉnh Quảng Ninh,https://shopee.vn/search?shop=1731178242,"Rau củ sấy khô mới phơi nắng500g Nguyên liệu lẩu nghêu khô Hải Hồng, hải sản nghêu khô250g Đồ dùng làm súp cho dịp Tết","Rau củ sấy khô mới phơi nắng500g Nguyên liệu lẩu nghêu khô Hải Hồng, hải sản nghêu khô250g Đồ dùng làm súp cho dịp Tết",203837,"Đặc sản chất lượng - Rau củ sấy khô mới phơi nắng500g Nguyên liệu lẩu nghêu khô Hải Hồng, hải sản nghêu khô250g Đồ dùng làm súp cho dịp Tết","Delicious and authentic local food specialty from Cửa hàng đồ ăn vặt của Chị Chư: Rau củ sấy khô mới phơi nắng500g Nguyên liệu lẩu nghêu khô Hải Hồng, hải sản nghêu khô250g Đồ dùng làm súp cho dịp Tết.",Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/vn-11134201-81ztc-mmg68c7fsk5ra5
431,Cửa hàng đồ ăn vặt của Chị Chư,Tỉnh Quảng Ninh,https://shopee.vn/search?shop=1731178242,"Quả mâm xôi sấy đông lạnh cao cấp, trái cây sấy khô dùng để trang trí, không chất phụ gia, không hạt, trái cây sấy khô t",Premium,342021,"Đặc sản chất lượng - Quả mâm xôi sấy đông lạnh cao cấp, trái cây sấy khô dùng để trang trí, không chất phụ gia, không hạt, trái cây sấy khô t",Delicious and authentic local food specialty from Cửa hàng đồ ăn vặt của Chị Chư: Premium.,Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/vn-11134201-81ztc-mmht17wssf7m25
432,Cửa hàng đồ ăn vặt của Chị Chư,Tỉnh Quảng Ninh,https://shopee.vn/search?shop=1731178242,"Bánh thịt Xianghe: Di sản văn hóa phi vật thể, làm thủ công từ thịt heo, hành lá, thì là, hành củ và thịt bò.300g/Trương","Bánh thịt Xianghe: Di sản văn hóa phi vật thể, làm thủ công từ thịt heo, hành lá, thì là, hành củ và thịt bò.300g/Trương",699522,"Đặc sản chất lượng - Bánh thịt Xianghe: Di sản văn hóa phi vật thể, làm thủ công từ thịt heo, hành lá, thì là, hành củ và thịt bò.300g/Trương","Exquisite handcrafted souvenir made with premium materials from Cửa hàng đồ ăn vặt của Chị Chư: Bánh thịt Xianghe: Di sản văn hóa phi vật thể, làm thủ công từ thịt heo, hành lá, thì là, hành củ và thịt bò.300g/Trương.",Handicrafts,Thủ công,https://down-vn.img.susercontent.com/file/sg-11134201-823rb-mp2gieawh15a49
433,Cửa hàng đồ ăn vặt của Chị Chư,Tỉnh Quảng Ninh,https://shopee.vn/search?shop=1731178242,"Lát bưởi khô, trái cây sấy khô dùng để pha trà trái cây, lát bưởi đỏ dùng để ăn liền, làm bánh và trang trí thương mại.","Lát bưởi khô, trái cây sấy khô dùng để pha trà trái cây, lát bưởi đỏ dùng để ăn liền, làm bánh và trang trí thương mại.",158682,"Đặc sản chất lượng - Lát bưởi khô, trái cây sấy khô dùng để pha trà trái cây, lát bưởi đỏ dùng để ăn liền, làm bánh và trang trí thương mại.","Delicious and authentic local food specialty from Cửa hàng đồ ăn vặt của Chị Chư: Lát bưởi khô, trái cây sấy khô dùng để pha trà trái cây, lát bưởi đỏ dùng để ăn liền, làm bánh và trang trí thương mại..",Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/vn-11134201-81ztc-mmhrgeo5kk5k69
434,Cửa hàng đồ ăn vặt của Chị Chư,Tỉnh Quảng Ninh,https://shopee.vn/search?shop=1731178242,"Món tráng miệng truyền thống Uyghur của vùng Tây Tân Cương, được làm thủ công truyền thống, đóng gói riêng lẻ, vị hạt dẻ","Món tráng miệng truyền thống Uyghur của vùng Tây Tân Cương, được làm thủ công truyền thống, đóng gói riêng lẻ, vị hạt dẻ",287584,"Đặc sản chất lượng - Món tráng miệng truyền thống Uyghur của vùng Tây Tân Cương, được làm thủ công truyền thống, đóng gói riêng lẻ, vị hạt dẻ","Exquisite handcrafted souvenir made with premium materials from Cửa hàng đồ ăn vặt của Chị Chư: Món tráng miệng truyền thống Uyghur của vùng Tây Tân Cương, được làm thủ công truyền thống, đóng gói riêng lẻ, vị hạt dẻ.",Handicrafts,Thủ công,https://down-vn.img.susercontent.com/file/vn-11134201-81ztc-mmj222ma8glic4
435,Cửa hàng đồ ăn vặt của Chị Chư,Tỉnh Quảng Ninh,https://shopee.vn/search?shop=1731178242,"Món ăn vặt cay nồng, thơm ngon từ nấm tai hươu, món ăn vặt nấm thông thường để thư giãn, thỏa mãn cơn thèm, xem phim thả","Món ăn vặt cay nồng, thơm ngon từ nấm tai hươu, món ăn vặt nấm thông thường để thư giãn, thỏa mãn cơn thèm, xem phim thả",176111,"Đặc sản chất lượng - Món ăn vặt cay nồng, thơm ngon từ nấm tai hươu, món ăn vặt nấm thông thường để thư giãn, thỏa mãn cơn thèm, xem phim thả","Delicious and authentic local food specialty from Cửa hàng đồ ăn vặt của Chị Chư: Món ăn vặt cay nồng, thơm ngon từ nấm tai hươu, món ăn vặt nấm thông thường để thư giãn, thỏa mãn cơn thèm, xem phim thả.",Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/vn-11134201-81ztc-mmimwbf23fnq6d
436,Cửa hàng đồ ăn vặt của Chị Chư,Tỉnh Quảng Ninh,https://shopee.vn/search?shop=1731178242,"Đậu phụ xiên que cay Wugang Orchid - Đồ ăn vặt cay kiểu Hồ Nam, đóng gói riêng lẻ, đậu phụ xiên que cay, đậu phụ khô Orc","Đậu phụ xiên que cay Wugang Orchid - Đồ ăn vặt cay kiểu Hồ Nam, đóng gói riêng lẻ, đậu phụ xiên que cay, đậu phụ khô Orc",83318,"Đặc sản chất lượng - Đậu phụ xiên que cay Wugang Orchid - Đồ ăn vặt cay kiểu Hồ Nam, đóng gói riêng lẻ, đậu phụ xiên que cay, đậu phụ khô Orc","Delicious and authentic local food specialty from Cửa hàng đồ ăn vặt của Chị Chư: Đậu phụ xiên que cay Wugang Orchid - Đồ ăn vặt cay kiểu Hồ Nam, đóng gói riêng lẻ, đậu phụ xiên que cay, đậu phụ khô Orc.",Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/vn-11134201-81ztc-mmga5hx07u2s60
437,Cửa hàng đồ ăn vặt của Chị Chư,Tỉnh Quảng Ninh,https://shopee.vn/search?shop=1731178242,"Thịt lợn khô cắt dày Haorunfang Macau, siêu dày, hương vị nguyên bản, đặc sản khô sấy gió Chu Hải Quảng Đông Quảng Châu,","Thịt lợn khô cắt dày Haorunfang Macau, siêu dày, hương vị nguyên bản, đặc sản khô sấy gió Chu Hải Quảng Đông Quảng Châu,",231920,"Đặc sản chất lượng - Thịt lợn khô cắt dày Haorunfang Macau, siêu dày, hương vị nguyên bản, đặc sản khô sấy gió Chu Hải Quảng Đông Quảng Châu,","Delicious and authentic local food specialty from Cửa hàng đồ ăn vặt của Chị Chư: Thịt lợn khô cắt dày Haorunfang Macau, siêu dày, hương vị nguyên bản, đặc sản khô sấy gió Chu Hải Quảng Đông Quảng Châu,.",Local Food,Ẩm thực,https://down-vn.img.susercontent.com/file/vn-11134201-81ztc-mmix03h2m1olaf
438,HaNa Gift & Decor,Thành phố Hồ Chí Minh,https://shopee.vn/search?shop=1318557152,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,(Gift Set),19000,Đặc sản chất lượng - Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Unique fashion accessory showcasing Vietnamese cultural heritage from HaNa Gift & Decor: (Gift Set).,Fashion,Thời trang,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mjwd1qfwsop317
439,HaNa Gift & Decor,Thành phố Hồ Chí Minh,https://shopee.vn/search?shop=1318557152,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",(Gift Set),25500,"Đặc sản chất lượng - Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Exquisite handcrafted souvenir made with premium materials from HaNa Gift & Decor: (Gift Set).,Handicrafts,Thủ công,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mj2f4w73udqb62
440,HaNa Gift & Decor,Thành phố Hồ Chí Minh,https://shopee.vn/search?shop=1318557152,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,(Gift Set),44100,Đặc sản chất lượng - Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Exquisite handcrafted souvenir made with premium materials from HaNa Gift & Decor: (Gift Set).,Handicrafts,Thủ công,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mjcgsbx8a2o260
441,HaNa Gift & Decor,Thành phố Hồ Chí Minh,https://shopee.vn/search?shop=1318557152,Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam,(Gift Set),44100,Đặc sản chất lượng - Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam,Exquisite handcrafted souvenir made with premium materials from HaNa Gift & Decor: (Gift Set).,Handicrafts,Thủ công,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mjl5arlx7vgj58
442,HaNa Gift & Decor,Thành phố Hồ Chí Minh,https://shopee.vn/search?shop=1318557152,"Túi tote – Túi vải Việt Nam in hình thắng cảnh, món ăn, Áo Dài – Quà lưu niệm Việt Nam.","Túi tote – Túi vải Việt Nam in hình thắng cảnh, món ăn, Áo Dài – Quà lưu niệm Việt Nam.",55000,"Đặc sản chất lượng - Túi tote – Túi vải Việt Nam in hình thắng cảnh, món ăn, Áo Dài – Quà lưu niệm Việt Nam.","Unique fashion accessory showcasing Vietnamese cultural heritage from HaNa Gift & Decor: Túi tote – Túi vải Việt Nam in hình thắng cảnh, món ăn, Áo Dài – Quà lưu niệm Việt Nam..",Fashion,Thời trang,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mnca5kqwt5a97d
